Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2012,1,1,0.6,—,—,—,27.2,31.4,25.2,8.4,28.4
Changi,2012,1,2,0,—,—,—,27.7,31.3,25.4,13.6,33.1
Changi,2012,1,3,0,—,—,—,27.6,30.9,25.7,15.4,34.6
Changi,2012,1,4,0,—,—,—,27.4,31,25,13.3,33.8
Changi,2012,1,5,0,—,—,—,27,30.7,24.5,12.2,33.8
Changi,2012,1,6,0,—,—,—,27.3,31.4,24.6,11.7,36
Changi,2012,1,7,1.8,—,—,—,27,31.3,24.5,11.1,37.1
Changi,2012,1,8,26.2,—,—,—,24.8,27.2,23.8,8.2,33.8
Changi,2012,1,9,1.2,—,—,—,25.6,27.6,23.8,7.9,29.9
Changi,2012,1,10,2.4,—,—,—,25.3,27.3,24.1,7.8,22.3
Changi,2012,1,11,5.6,—,—,—,26,28.2,24.2,8.6,34.6
Changi,2012,1,12,0.8,—,—,—,26.1,29.4,24.1,8.2,37.8
Changi,2012,1,13,0,—,—,—,26.6,30.9,24,8.6,31
Changi,2012,1,14,15.8,—,—,—,27,30.8,24.5,6.6,19.1
Changi,2012,1,15,0,—,—,—,27,32.3,22.1,7,64.8
Changi,2012,1,16,0,—,—,—,27.6,31.2,25.2,7.2,23
Changi,2012,1,17,2,—,—,—,27.5,30.9,25.7,8.1,27.4
Changi,2012,1,18,0,—,—,—,26.8,29.8,24.4,7.4,24.5
Changi,2012,1,19,0,—,—,—,27.6,31.6,25.5,9.1,29.2
Changi,2012,1,20,10.6,—,—,—,25.9,31.5,22.9,6.8,31
Changi,2012,1,21,11.8,—,—,—,26.4,32.5,23.9,6.8,33.8
Changi,2012,1,22,3.6,—,—,—,26.6,31.6,23.7,6.1,27.4
Changi,2012,1,23,5.4,—,—,—,25.6,31.6,23.5,6.1,30.2
Changi,2012,1,24,0,—,—,—,26.2,29.6,24,7.9,33.8
Changi,2012,1,25,0,—,—,—,27.3,31.5,24.8,10.5,34.2
Changi,2012,1,26,0,—,—,—,27,30.2,25.1,10.6,34.6
Changi,2012,1,27,0.6,—,—,—,27,31.2,24.5,9.1,32.8
Changi,2012,1,28,0,—,—,—,26.2,28.6,24.7,7.7,25.6
Changi,2012,1,29,2.6,—,—,—,26.9,31.5,24.2,8.2,24.8
Changi,2012,1,30,0,—,—,—,27.1,31.6,24.6,10.1,28.4
Changi,2012,1,31,15.1,—,—,—,26.5,30.7,21.5,11.3,40.3
Changi,2012,2,1,0,—,—,—,27.3,30.6,25.5,13.6,36.4
Changi,2012,2,2,38.4,—,—,—,25.8,30,22.9,9.5,31.7
Changi,2012,2,3,2.2,—,—,—,24.9,27.8,24.1,5.8,28.8
Changi,2012,2,4,0,—,—,—,26.4,29.5,24.1,12.6,36.7
Changi,2012,2,5,0,—,—,—,27.4,31,24.9,10.9,29.9
Changi,2012,2,6,0,—,—,—,27.4,31.2,24.8,11.4,32.4
Changi,2012,2,7,0,—,—,—,27.4,32,24.6,10,30.6
Changi,2012,2,8,0,—,—,—,27.3,31.6,24.4,11.4,32.4
Changi,2012,2,9,0,—,—,—,27,30.9,24.4,11.8,32
Changi,2012,2,10,0,—,—,—,27.4,31.4,24.4,12.2,33.8
Changi,2012,2,11,0,—,—,—,28,32.3,25.3,12.3,38.9
Changi,2012,2,12,1.6,—,—,—,28,31.7,25.8,14.2,40.7
Changi,2012,2,13,4.8,—,—,—,27,30.7,24.4,12.9,31
Changi,2012,2,14,0,—,—,—,27.6,31.5,25.2,10.8,30.2
Changi,2012,2,15,0,—,—,—,27.2,31.9,24.8,7.5,24.8
Changi,2012,2,16,18.2,—,—,—,26.8,31.9,24.1,6.8,30.2
Changi,2012,2,17,2,—,—,—,26.4,30.6,23.6,5.1,42.1
Changi,2012,2,18,13.2,—,—,—,25.7,30.2,23,5.5,29.9
Changi,2012,2,19,0,—,—,—,26,29.8,22.7,6.8,28.4
Changi,2012,2,20,1.4,—,—,—,27.2,31.2,25.4,9.9,29.5
Changi,2012,2,21,1,—,—,—,26.9,29.8,25.6,10.4,31.3
