Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2010,1,1,0,—,—,—,27.9,31.7,24.9,8.6,29.2
Changi,2010,1,2,0,—,—,—,27.8,31.8,24.7,8.8,30.2
Changi,2010,1,3,0.5,—,—,—,28,31.4,25.4,9.1,29.9
Changi,2010,1,4,0.4,—,—,—,26.3,27.9,23.7,7.5,36
Changi,2010,1,5,0,—,—,—,27.5,31.6,24.7,9.7,31.7
Changi,2010,1,6,1.6,—,—,—,28.2,31.6,26,9.4,31.7
Changi,2010,1,7,5.4,—,—,—,26.1,28.6,23.2,7.5,37.8
Changi,2010,1,8,1,—,—,—,27.3,30.7,24.5,10.5,34.9
Changi,2010,1,9,0,—,—,—,27.4,30.8,24.5,11.3,38.2
Changi,2010,1,10,0,—,—,—,27.2,31.9,23.5,9.4,32
Changi,2010,1,11,0,—,—,—,27.6,31.8,24.1,10.1,31.3
Changi,2010,1,12,18.1,—,—,—,27,32.1,24.2,9.7,42.1
Changi,2010,1,13,0,—,—,—,27.4,30.6,24.7,11.1,37.4
Changi,2010,1,14,0,—,—,—,27.5,30.5,25.1,12.9,45.4
Changi,2010,1,15,0,—,—,—,27.6,31.1,24.9,13.7,41
Changi,2010,1,16,0,—,—,—,27.5,31.2,24.2,10.6,37.1
Changi,2010,1,17,0,—,—,—,27.4,31.6,24,11,37.8
Changi,2010,1,18,3.6,—,—,—,26.7,30.7,24.7,11.4,46.8
Changi,2010,1,19,24.5,—,—,—,26.6,31.5,23.1,7.5,45.7
Changi,2010,1,20,0,—,—,—,26.8,31.2,21.8,8.7,35.3
Changi,2010,1,21,0,—,—,—,27.4,31,24.9,9,31.7
Changi,2010,1,22,10.9,—,—,—,26.4,30,22.2,6.7,34.9
Changi,2010,1,23,0,—,—,—,28.1,31.7,25.1,12.5,32.4
Changi,2010,1,24,0,—,—,—,27.9,31.2,24.9,13.9,37.1
Changi,2010,1,25,0,—,—,—,27.8,31.4,25.1,13.4,33.1
Changi,2010,1,26,0,—,—,—,28,31.9,24.7,10.5,37.4
Changi,2010,1,27,0.1,—,—,—,27.8,31.2,24.9,14.2,42.8
Changi,2010,1,28,3.4,—,—,—,27.5,31.4,25.2,11.5,37.1
Changi,2010,1,29,0,—,—,—,27.8,32,24.5,11.6,34.9
Changi,2010,1,30,0,—,—,—,28.1,32,24.7,11.2,37.4
Changi,2010,1,31,0,—,—,—,28.3,32.3,25.5,12.5,37.4
Changi,2010,2,1,0,—,—,—,27.9,31.9,25.1,12.1,39.6
Changi,2010,2,2,0,—,—,—,28.1,34.1,23.8,10.3,30.6
Changi,2010,2,3,0,—,—,—,28.6,33.1,25,13.2,34.6
Changi,2010,2,4,0,—,—,—,28.7,33.3,25.6,14.7,40
Changi,2010,2,5,0,—,—,—,28.3,33.7,25.1,9.9,36
Changi,2010,2,6,0,—,—,—,28.7,33.1,24.9,12.4,39.2
Changi,2010,2,7,0,—,—,—,28.9,33.3,25.7,14.3,36
Changi,2010,2,8,0,—,—,—,28.9,32.9,25.7,13,35.3
Changi,2010,2,9,2,—,—,—,28.2,32.1,25.5,13.5,43.2
Changi,2010,2,10,0,—,—,—,28.8,33.3,25.5,14,41
Changi,2010,2,11,0,—,—,—,28.9,33.3,26,14.5,39.6
Changi,2010,2,12,0,—,—,—,29,33.8,25,13.2,42.5
Changi,2010,2,13,0,—,—,—,29.2,33.8,25.9,14.7,42.1
Changi,2010,2,14,0,—,—,—,29,33.4,25.6,13.4,40
Changi,2010,2,15,0,—,—,—,28.6,32.5,25.9,12.5,39.2
Changi,2010,2,16,2.9,—,—,—,29.1,33,25.9,14.3,42.8
Changi,2010,2,17,0.4,—,—,—,29,33.7,25.2,15.3,39.6
Changi,2010,2,18,0,—,—,—,29.2,33.3,26.3,17.7,49
Changi,2010,2,19,0,—,—,—,28.6,33.1,24.9,9.9,32.4
Changi,2010,2,20,0,—,—,—,28.5,32.3,25.5,11.6,35.3
Changi,2010,2,21,0,—,—,—,29.2,33.9,26.1,13,37.4
Changi,2010,2,22,0,—,—,—,29.2,33.8,25.7,12.8,37.1
Changi,2010,2,23,0,—,—,—,29.1,34.1,25.9,12.2,34.2
Changi,2010,2,24,1,—,—,—,29.2,35,25.8,11.1,44.6
Changi,2010,2,25,0,—,—,—,29.5,34.5,25.8,11.2,33.8
Changi,2010,2,26,0,—,—,—,29.6,35.2,26.1,11.1,38.9
Changi,2010,2,27,0,—,—,—,29.2,33.7,25.9,11.1,29.5
Changi,2010,2,28,0,—,—,—,29.5,34.7,25.6,11.2,32.8
Changi,2010,3,1,0,—,—,—,29.3,34.2,26.5,10.9,32
Changi,2010,3,2,0,—,—,—,29.5,34.6,25.9,12.6,34.9
Changi,2010,3,3,0,—,—,—,29.6,35.4,26,11.9,34.2
Changi,2010,3,4,0,—,—,—,29.4,35.4,25.4,12.3,33.8
Changi,2010,3,5,0,—,—,—,29.3,34.5,26,12.5,33.8
Changi,2010,3,6,0,—,—,—,29.4,35.5,25.2,11.5,40.7
Changi,2010,3,7,0,—,—,—,29.7,35.2,25.9,11.9,41.4
Changi,2010,3,8,0,—,—,—,29.8,34.6,25.2,13.3,38.5
Changi,2010,3,9,28.7,—,—,—,29.8,35,26.7,9.3,32
Changi,2010,3,10,6.8,—,—,—,28.2,32.5,23.9,11.4,42.8
Changi,2010,3,11,0,—,—,—,28.9,33.9,25.6,11.2,39.6
Changi,2010,3,12,0,—,—,—,29.3,33.2,26.6,12.3,42.8
Changi,2010,3,13,8.1,—,—,—,28.1,32,25.2,8.8,43.6
Changi,2010,3,14,0,—,—,—,28.8,33.2,25.6,9.5,35.3
Changi,2010,3,15,0,—,—,—,29.4,34.4,25.8,8.4,30.6
Changi,2010,3,16,2.9,—,—,—,27.7,30.6,25.1,10.8,34.9
Changi,2010,3,17,0,—,—,—,29.1,33.7,25.4,13.4,42.5
Changi,2010,3,18,26.4,—,—,—,27.5,32.4,22.8,8.8,40.3
Changi,2010,3,19,17.9,—,—,—,26.6,32.2,24.3,10.1,35.3
Changi,2010,3,20,15.5,—,—,—,25.2,25.9,23.6,7.5,25.6
Changi,2010,3,21,0,—,—,—,27.8,32.2,23.5,8,28.8
Changi,2010,3,22,0,—,—,—,28.4,32.9,25.1,9.9,33.5
Changi,2010,3,23,57.6,—,—,—,27.6,30.1,23.6,7.3,25.6
Changi,2010,3,24,2,—,—,—,28.5,32.8,25,8.2,27
Changi,2010,3,25,22.9,—,—,—,27.9,33.3,24,7.4,30.2
Changi,2010,3,26,0,—,—,—,28.6,32.8,24.9,6.2,25.9
Changi,2010,3,27,0,—,—,—,28.9,32.7,25.5,11.5,34.9
Changi,2010,3,28,0,—,—,—,29.1,33,25.8,11.6,33.1
Changi,2010,3,29,0,—,—,—,28.8,33.1,25.4,9,32
Changi,2010,3,30,0.1,—,—,—,28.4,31.4,25.9,6.6,24.1
Changi,2010,3,31,49.1,—,—,—,27.5,32.3,24.1,6.6,32.8
Changi,2010,4,1,7.9,—,—,—,28,31.2,24.5,6.6,33.5
Changi,2010,4,2,0.1,—,—,—,28.6,32.6,25.3,8.5,31.3
Changi,2010,4,3,14.2,—,—,—,27.7,32.8,24.6,8.9,42.5
Changi,2010,4,4,11.5,—,—,—,25.8,27.8,22.5,4.9,30.2
Changi,2010,4,5,0.1,—,—,—,27.8,32.8,24,9,34.2
Changi,2010,4,6,0,—,—,—,29.3,33.3,24.5,9.9,32
Changi,2010,4,7,0,—,—,—,29.5,33.5,26.2,10.3,43.2
Changi,2010,4,8,0,—,—,—,29.5,33.3,26,9.5,32.8
Changi,2010,4,9,0,—,—,—,29.8,33.6,26.1,10.2,27.7
Changi,2010,4,10,0,—,—,—,28.7,32,25.4,7,51.1
Changi,2010,4,11,13.9,—,—,—,29.5,34.5,24.7,9,33.1
Changi,2010,4,12,0,—,—,—,29.8,33.7,24.8,9.6,41.4
Changi,2010,4,13,27.8,—,—,—,28.6,34.1,23.9,8.2,54
Changi,2010,4,14,0,—,—,—,28.8,33.5,24.6,10.2,33.5
Changi,2010,4,15,17.1,—,—,—,28.9,34,24.4,8,42.5
Changi,2010,4,16,1.1,—,—,—,28.3,31.1,25,6.5,27
Changi,2010,4,17,40,—,—,—,28.3,33.8,23.6,6.4,32.4
Changi,2010,4,18,1.2,—,—,—,27.5,31,24.9,6,27.4
Changi,2010,4,19,8.1,—,—,—,27.8,33.1,24,5.8,32
Changi,2010,4,20,1.1,—,—,—,27.8,33.4,25.1,6.4,37.8
Changi,2010,4,21,0.9,—,—,—,28.1,31.9,26,4.9,33.8
Changi,2010,4,22,3.9,—,—,—,28.2,33.4,25.1,6.7,29.9
Changi,2010,4,23,0,—,—,—,29,34.2,25,6.8,28.4
Changi,2010,4,24,0.9,—,—,—,28.4,33.4,26.1,5.8,27.7
Changi,2010,4,25,2.8,—,—,—,28.7,31.9,25.7,8.6,31
Changi,2010,4,26,5,—,—,—,27.5,30,25.4,6,26.6
Changi,2010,4,27,0.6,—,—,—,28.7,33.7,24.5,7.5,29.5
Changi,2010,4,28,0,—,—,—,29.3,32.9,26.3,5.8,24.8
Changi,2010,4,29,0.3,—,—,—,29.2,33.1,26.6,7.2,38.5
Changi,2010,4,30,0,—,—,—,29.9,33.7,26.5,11.4,32.4
Changi,2010,5,1,0,—,—,—,30,33.9,26.5,9.1,28.4
Changi,2010,5,2,0,—,—,—,29.8,34,26.4,9.6,32.8
Changi,2010,5,3,1,—,—,—,29.7,32.7,26.5,9.2,31.3
Changi,2010,5,4,0,—,—,—,30.4,34.5,26.8,9,36.7
Changi,2010,5,5,0,—,—,—,30.3,33.9,27,9.8,29.5
Changi,2010,5,6,2.4,—,—,—,29.9,33.9,27.4,9.7,37.1
Changi,2010,5,7,0,—,—,—,30.5,34.8,26.9,8.4,27.7
Changi,2010,5,8,20.1,—,—,—,29.4,35.2,25.1,6.3,30.6
Changi,2010,5,9,0,—,—,—,28.6,33.1,26,5.8,38.5
Changi,2010,5,10,0,—,—,—,28.6,31.9,25.6,5.3,27
Changi,2010,5,11,3.3,—,—,—,29.3,34.2,26.7,5.8,28.4
Changi,2010,5,12,3.7,—,—,—,29.4,33.7,24.6,5.9,30.6
Changi,2010,5,13,5.6,—,—,—,28.1,33.4,25.3,5.5,32.8
Changi,2010,5,14,10.7,—,—,—,28.6,31.5,26.4,4.6,19.8
Changi,2010,5,15,0,—,—,—,29.3,33.5,24.3,6,37.4
Changi,2010,5,16,90.5,—,—,—,28.5,35.1,23.2,7.4,38.2
Changi,2010,5,17,3,—,—,—,27.8,31.6,22.9,6.5,44.6
Changi,2010,5,18,3.3,—,—,—,29.4,34.1,25.7,10.7,38.2
Changi,2010,5,19,4.9,—,—,—,27.2,29.7,25.2,6.6,31.3
Changi,2010,5,20,1.1,—,—,—,29.4,33.5,26,6.9,35.6
Changi,2010,5,21,0.5,—,—,—,29.6,33.6,25.7,8.5,28.1
Changi,2010,5,22,1.3,—,—,—,28.2,30.6,26,6.4,31.7
Changi,2010,5,23,0,—,—,—,29.4,32.6,25.6,7.9,26.6
Changi,2010,5,24,0,—,—,—,30.3,33.5,27.5,8.1,29.5
Changi,2010,5,25,0,—,—,—,30.4,33.5,27.7,9.4,32.4
Changi,2010,5,26,0,—,—,—,30.1,33.8,26.6,8.4,32.4
Changi,2010,5,27,0.8,—,—,—,29.5,33.5,25.9,9.5,41.8
Changi,2010,5,28,0.3,—,—,—,29.3,33.1,26.5,7.7,28.8
Changi,2010,5,29,0,—,—,—,29.5,34,26.6,6.7,37.8
Changi,2010,5,30,0.1,—,—,—,28.4,32.7,26.4,6.2,34.6
Changi,2010,5,31,4.9,—,—,—,27.4,30.4,25.4,4.4,19.8
Changi,2010,6,1,43,—,—,—,29.2,32.9,25.8,5.5,27.4
Changi,2010,6,2,3.4,—,—,—,28.3,31.6,24.1,6.4,35.6
Changi,2010,6,3,0,—,—,—,29.7,33.1,26.5,8.6,29.5
Changi,2010,6,4,0,—,—,—,29.4,32.5,27.2,7.4,37.1
Changi,2010,6,5,0,—,—,—,28.6,31.1,26.2,6.8,30.2
Changi,2010,6,6,24.3,—,—,—,29.1,32.9,25.3,6.2,32.4
Changi,2010,6,7,10.5,—,—,—,28.1,30.9,24.3,5.6,31.7
Changi,2010,6,8,2,—,—,—,26.7,27.7,25.4,3.8,22
Changi,2010,6,9,0,—,—,—,28.3,32.6,25.4,5.7,27
