Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2010,6,10,1.8,—,—,—,27.5,29.3,25.9,7.1,21.2
Changi,2010,6,11,0,—,—,—,29.7,33,25.9,9,26.3
Changi,2010,6,12,0,—,—,—,29.6,33.5,27,7.2,34.6
Changi,2010,6,13,1,—,—,—,28.2,33.4,25.5,6.3,55.1
Changi,2010,6,14,0.7,—,—,—,28.6,31.6,24.3,6.2,50.8
Changi,2010,6,15,29.7,—,—,—,27.9,30.7,24,6.6,42.5
Changi,2010,6,16,38.4,—,—,—,25.9,28.2,23,8.5,32
Changi,2010,6,17,0,—,—,—,28.1,31.7,24.4,8.3,28.4
Changi,2010,6,18,1,—,—,—,28.6,30.4,26.1,6.1,41
Changi,2010,6,19,8.1,—,—,—,28.2,31.7,25.7,7.1,32
Changi,2010,6,20,0,—,—,—,28.8,31.6,24.6,8.1,38.9
Changi,2010,6,21,0,—,—,—,29.7,32.2,27.3,13,34.9
Changi,2010,6,22,0.4,—,—,—,28.4,30.4,26,8.4,31.3
Changi,2010,6,23,5.1,—,—,—,26.9,31.4,23.8,8.8,56.9
Changi,2010,6,24,9,—,—,—,28.3,31.2,25.4,9.8,27.4
Changi,2010,6,25,26,—,—,—,26.5,28.2,23.1,7.3,34.9
Changi,2010,6,26,0,—,—,—,28.6,32.2,25.6,8.5,34.6
Changi,2010,6,27,19.8,—,—,—,27.4,29.6,24.2,7.5,28.4
Changi,2010,6,28,15.7,—,—,—,28,30.8,25.1,6.8,40.3
Changi,2010,6,29,0.1,—,—,—,28.5,32.1,23.4,8.1,30.2
Changi,2010,6,30,0.5,—,—,—,28.7,32.5,26.1,6.4,23.4
Changi,2010,7,1,0.4,—,—,—,28.1,30.9,26,6,34.2
Changi,2010,7,2,49.9,—,—,—,26.3,31.1,23.5,5.8,28.1
Changi,2010,7,3,4.1,—,—,—,25.8,29,23.8,5.4,38.9
Changi,2010,7,4,0,—,—,—,27.8,30.4,25.1,7.2,25.2
Changi,2010,7,5,0,—,—,—,28.9,32.4,25.8,8,22.3
Changi,2010,7,6,0,—,—,—,29.5,32.7,26.6,10.8,29.2
Changi,2010,7,7,0,—,—,—,29.2,33.4,26.1,7.9,32
Changi,2010,7,8,0.3,—,—,—,27.7,29.8,25.3,6.2,23
Changi,2010,7,9,0,—,—,—,27.8,32,24.8,6.3,22.7
Changi,2010,7,10,4.6,—,—,—,27.2,32.1,24.6,6.8,40
Changi,2010,7,11,0,—,—,—,28.6,32.6,25,8.1,37.8
Changi,2010,7,12,21,—,—,—,28.2,32.1,23.8,7,41.4
Changi,2010,7,13,0,—,—,—,28.8,32.4,25.4,7.5,30.2
Changi,2010,7,14,0,—,—,—,29,32.1,26.8,9.2,32.4
Changi,2010,7,15,0,—,—,—,29.4,32.6,26.6,9.8,34.2
Changi,2010,7,16,121.1,—,—,—,27.4,30.8,23.9,6,37.1
Changi,2010,7,17,4.3,—,—,—,26.7,29.2,22.4,7.8,37.8
Changi,2010,7,18,3.2,—,—,—,26.8,29.3,24.2,6,34.6
Changi,2010,7,19,0,—,—,—,27.7,31.2,24.1,5.8,26.6
Changi,2010,7,20,0.4,—,—,—,27.3,31.7,24.5,7.6,45.7
Changi,2010,7,21,16.2,—,—,—,27.2,31.1,24.2,5.3,28.1
Changi,2010,7,22,3.1,—,—,—,26,27.1,23.6,7.3,34.6
Changi,2010,7,23,0.5,—,—,—,27.8,30.8,24.3,8.2,34.6
Changi,2010,7,24,0,—,—,—,27.9,29.9,24.7,6.9,35.3
Changi,2010,7,25,0.5,—,—,—,28.7,32.2,25.3,7.6,26.3
Changi,2010,7,26,2.6,—,—,—,25.7,26.9,23.3,6.6,30.6
Changi,2010,7,27,0,—,—,—,28.2,31.8,24.6,8.8,28.4
Changi,2010,7,28,5.6,—,—,—,27,29.5,22.9,7.9,28.8
Changi,2010,7,29,0,—,—,—,28.8,32.4,24.9,3.6,4.7
Changi,2010,7,30,24.4,—,—,—,25.6,28.5,22.8,—,—
Changi,2010,7,31,36.3,—,—,—,27.9,31.2,24.4,—,—
Changi,2010,8,1,2.1,—,—,—,25.4,27.1,22,3.6,7.9
Changi,2010,8,2,0,—,—,—,28.2,31.8,25.6,—,—
Changi,2010,8,3,0,—,—,—,28.3,31.7,24.6,—,—
Changi,2010,8,4,23.8,—,—,—,27.5,30.2,23.9,8.5,30.6
Changi,2010,8,5,0,—,—,—,28.3,31,25.3,7.8,25.9
Changi,2010,8,6,0,—,—,—,29.1,32,26.6,9.5,28.4
Changi,2010,8,7,0.3,—,—,—,28,29.9,24.7,6.8,35.3
Changi,2010,8,8,0,—,—,—,28.5,32.1,25.8,9,27.7
Changi,2010,8,9,0,—,—,—,28.8,31.7,25.4,10,34.6
Changi,2010,8,10,4.8,—,—,—,28.8,31.7,23.4,11,30.2
Changi,2010,8,11,1.8,—,—,—,27.6,32.2,24,9.8,36.4
Changi,2010,8,12,0,—,—,—,28.3,32.4,24.3,9.9,29.9
Changi,2010,8,13,1.9,—,—,—,28.1,32.1,26.3,7.7,26.6
Changi,2010,8,14,0.3,—,—,—,27.4,31,25.1,5.8,23.4
Changi,2010,8,15,0.4,—,—,—,27.2,30.2,24.9,5.7,31
Changi,2010,8,16,1.7,—,—,—,27,30.4,24.9,4.8,22
Changi,2010,8,17,0,—,—,—,27.6,31.9,24.2,6,24.5
Changi,2010,8,18,41,—,—,—,26.7,30.3,23.4,5.8,37.8
Changi,2010,8,19,60.2,—,—,—,27.4,29.8,24.6,6.6,28.1
Changi,2010,8,20,4,—,—,—,25.6,27.5,22.2,7,45
Changi,2010,8,21,0,—,—,—,27.7,31.7,23.9,7.1,30.2
Changi,2010,8,22,0,—,—,—,29,32.9,26,9,24.8
Changi,2010,8,23,3.7,—,—,—,28,32.2,23.8,11,38.5
Changi,2010,8,24,0.5,—,—,—,28.5,33.1,24.8,12.2,40.7
Changi,2010,8,25,0,—,—,—,28.5,31.3,25.6,8.7,31
Changi,2010,8,26,0,—,—,—,29.2,32.4,25.6,9.4,35.3
Changi,2010,8,27,0.1,—,—,—,27.9,30,24.6,6.5,39.2
Changi,2010,8,28,0.9,—,—,—,28.8,32.3,24.9,11,42.8
Changi,2010,8,29,10.9,—,—,—,27.4,30.4,23.8,7,28.1
Changi,2010,8,30,0,—,—,—,27.6,31.6,23.5,8.4,34.2
Changi,2010,8,31,0,—,—,—,28.3,32.1,24.4,8.2,29.2
Changi,2010,9,1,0,—,—,—,29.2,32.8,26,7.9,30.2
Changi,2010,9,2,0,—,—,—,29,32.4,25.9,9.5,34.6
Changi,2010,9,3,0,—,—,—,28.8,30.8,27,8.6,29.2
Changi,2010,9,4,28,—,—,—,28.9,32.3,25.7,6.1,22
Changi,2010,9,5,7.2,—,—,—,26.5,29.1,22.6,6.8,31.7
Changi,2010,9,6,6.1,—,—,—,26.9,31.1,22.9,6.7,35.3
Changi,2010,9,7,0,—,—,—,27.7,32.4,23.4,7.1,25.2
Changi,2010,9,8,6.5,—,—,—,26.7,30.8,24,5.6,33.1
Changi,2010,9,9,0,—,—,—,28.8,32.7,25.8,9.8,29.5
Changi,2010,9,10,2.2,—,—,—,27.2,30.8,24.6,8.7,34.9
Changi,2010,9,11,0,—,—,—,28.3,32,24.1,7.8,22.7
Changi,2010,9,12,0,—,—,—,29,32.2,26.4,9.4,33.8
Changi,2010,9,13,1.1,—,—,—,29,32.8,25.7,9.7,29.2
Changi,2010,9,14,0,—,—,—,29.6,33.2,27,12,36.4
Changi,2010,9,15,13.8,—,—,—,27.7,31.5,23.5,6.6,50.8
Changi,2010,9,16,0,—,—,—,28.1,31.5,24.8,7.8,26.3
Changi,2010,9,17,11.3,—,—,—,26.7,29.4,23.7,5.2,30.6
Changi,2010,9,18,0,—,—,—,28.6,32.2,24.9,8.7,27.4
Changi,2010,9,19,0,—,—,—,29,32.5,25.5,8.5,25.6
Changi,2010,9,20,0,—,—,—,28.3,33.1,26.1,8,51.5
Changi,2010,9,21,0,—,—,—,28.4,32.2,24.8,8,28.8
Changi,2010,9,22,0,—,—,—,28.3,32.7,25.7,5.6,30.2
Changi,2010,9,23,2,—,—,—,27.5,31.6,25.2,5.5,25.6
Changi,2010,9,24,4.2,—,—,—,27.2,31.4,24.5,5.7,33.8
Changi,2010,9,25,8,—,—,—,27,29.6,24.7,5.4,23.4
Changi,2010,9,26,0,—,—,—,28.4,32.5,24.8,5.9,31
Changi,2010,9,27,5.9,—,—,—,27,32.6,24.3,6,45
Changi,2010,9,28,0,—,—,—,27.6,31.6,24.5,6.1,40.3
Changi,2010,9,29,0,—,—,—,28.5,32.9,25.3,7.6,43.2
Changi,2010,9,30,25.2,—,—,—,26.9,30.6,24.1,5.3,36
Changi,2010,10,1,0,—,—,—,28.2,32,23.5,6.6,28.1
Changi,2010,10,2,58.1,—,—,—,29.2,32.5,26.3,9.5,33.8
Changi,2010,10,3,0,—,—,—,28,30.8,23.3,8.3,52.9
Changi,2010,10,4,3,—,—,—,28.4,31.9,26.6,7.2,34.6
Changi,2010,10,5,0,—,—,—,28.7,32.6,24.4,8,32
Changi,2010,10,6,0,—,—,—,28.6,31.5,25.9,6.3,26.3
Changi,2010,10,7,0.1,—,—,—,27.3,28.7,25.5,6.3,24.1
Changi,2010,10,8,0.2,—,—,—,28.4,32.1,25.1,5.4,19.4
Changi,2010,10,9,0.3,—,—,—,29.2,33.4,25.7,5.8,28.8
Changi,2010,10,10,0,—,—,—,29.7,33.3,27.1,6.4,37.8
Changi,2010,10,11,0,—,—,—,29.2,32.5,25.8,7.5,34.6
Changi,2010,10,12,2.9,—,—,—,28.6,30.8,26.1,6.7,23
Changi,2010,10,13,0.3,—,—,—,27.4,30.6,23.4,6.3,41
Changi,2010,10,14,0,—,—,—,29.1,31.8,26.1,7.5,30.6
Changi,2010,10,15,0,—,—,—,30,34.1,26.3,5.9,68
Changi,2010,10,16,0,—,—,—,29.9,34,26.3,8.6,32
Changi,2010,10,17,0,—,—,—,29,31.8,26.9,9.2,35.6
Changi,2010,10,18,2,—,—,—,29.1,32.9,26.1,7,33.1
Changi,2010,10,19,0,—,—,—,28.7,31.7,26.2,6.3,31.3
Changi,2010,10,20,21.6,—,—,—,28.1,31.7,25.6,4.8,25.9
Changi,2010,10,21,0.4,—,—,—,27.9,30.2,24.6,4.8,37.8
Changi,2010,10,22,18.9,—,—,—,27.8,31.2,24.7,4.5,29.9
Changi,2010,10,23,0,—,—,—,28,32.5,24.1,7.7,40
Changi,2010,10,24,1.5,—,—,—,26.8,30.9,24.3,5.5,27
Changi,2010,10,25,7.4,—,—,—,27.2,29.1,25.2,6.1,20.9
Changi,2010,10,26,17.7,—,—,—,27.8,32,23.6,6.2,28.8
Changi,2010,10,27,0,—,—,—,26.4,28.6,23.7,6.6,45.7
Changi,2010,10,28,8.4,—,—,—,27.9,32.4,24.7,5.4,26.6
Changi,2010,10,29,7.8,—,—,—,26.9,32.8,22.9,6.8,46.1
Changi,2010,10,30,10,—,—,—,26.4,30.8,22.6,6.2,50.4
Changi,2010,10,31,5.6,—,—,—,28.1,31.7,24.4,7.9,27.7
Changi,2010,11,1,2.8,—,—,—,28.5,32.4,23.4,10,38.9
Changi,2010,11,2,19,—,—,—,28.1,31,24.6,7.2,35.3
Changi,2010,11,3,0,—,—,—,29.5,33.1,23.8,12.3,40.7
Changi,2010,11,4,0,—,—,—,28.5,30.6,25.9,8.4,28.1
Changi,2010,11,5,22.2,—,—,—,27.3,32.1,25.1,5.3,27
Changi,2010,11,6,3.6,—,—,—,27.4,32.9,23.4,5.9,32
Changi,2010,11,7,41.6,—,—,—,26.3,31.5,23.2,6.9,38.9
Changi,2010,11,8,2,—,—,—,26.8,29.9,23.8,5.1,26.6
Changi,2010,11,9,0.6,—,—,—,26.7,29.7,23.8,5.6,25.2
Changi,2010,11,10,8.2,—,—,—,27.7,31.4,25,5.3,26.6
Changi,2010,11,11,5,—,—,—,26.2,29.6,24.1,5.2,30.2
Changi,2010,11,12,0,—,—,—,27.8,32.2,24.5,7.4,27
Changi,2010,11,13,2.4,—,—,—,27.7,32,24.5,6,31.7
Changi,2010,11,14,22,—,—,—,25.9,30.9,23.6,5.4,39.6
Changi,2010,11,15,0,—,—,—,26.7,29.4,24.2,7,26.6
Changi,2010,11,16,34.4,—,—,—,26.8,31.7,24,6.5,46.4
Changi,2010,11,17,3,—,—,—,26.4,31,24.5,4.7,25.2
Changi,2010,11,18,1,—,—,—,27.3,30.9,23.8,6,27.7
Changi,2010,11,19,0,—,—,—,28.2,32.7,24.5,7.8,29.9
Changi,2010,11,20,37.2,—,—,—,26.9,30.6,23,5,46.1
Changi,2010,11,21,0,—,—,—,28.3,32.6,24.3,6.5,26.3
Changi,2010,11,22,0,—,—,—,28.7,33.1,25.6,8.3,32.4
Changi,2010,11,23,1,—,—,—,28.3,33.1,25.4,6.3,26.6
Changi,2010,11,24,7.2,—,—,—,26.8,31.8,23.7,6.1,34.2
Changi,2010,11,25,25.2,—,—,—,26.3,31.5,21.7,6.8,38.2
Changi,2010,11,26,0,—,—,—,27.2,31.3,23.4,8.6,29.2
Changi,2010,11,27,0,—,—,—,28.3,32.7,24.4,6.7,34.6
Changi,2010,11,28,0.8,—,—,—,27.9,32.1,26.1,6.5,34.6
Changi,2010,11,29,30.2,—,—,—,26.3,31.8,23.5,5.8,90.7
Changi,2010,11,30,9.4,—,—,—,26.8,31.6,24.1,7,37.8
Changi,2010,12,1,0,—,—,—,27.5,30.8,24.5,5.5,27.4
Changi,2010,12,2,85.8,—,—,—,26.5,32.4,22.3,7.1,86
Changi,2010,12,3,15.6,—,—,—,26.2,31.9,23.2,7.5,46.1
Changi,2010,12,4,1.4,—,—,—,26.4,28.3,23.3,6.1,33.1
Changi,2010,12,5,0,—,—,—,27.8,32.9,24.3,7.4,30.2
Changi,2010,12,6,8.4,—,—,—,26.9,33.1,24.2,5.7,33.1
Changi,2010,12,7,0,—,—,—,27.4,32,23.8,6.2,27
Changi,2010,12,8,2,—,—,—,27.4,30.9,25.1,6.8,25.9
Changi,2010,12,9,0,—,—,—,26.9,30.2,24,6.8,29.5
Changi,2010,12,10,0,—,—,—,27,29.6,24,5.4,20.9
Changi,2010,12,11,2.6,—,—,—,27.9,32.6,24.7,6.1,31.7
Changi,2010,12,12,0,—,—,—,28.3,33.6,24.5,6.5,33.1
Changi,2010,12,13,4.2,—,—,—,26.9,31.3,24.4,5.9,28.8
Changi,2010,12,14,0,—,—,—,27.5,32.6,23.6,6.7,27.4
Changi,2010,12,15,29.4,—,—,—,26.6,31.6,23.8,6.9,33.5
Changi,2010,12,16,0.6,—,—,—,26,30.9,23.4,6.4,41
Changi,2010,12,17,0.6,—,—,—,26.5,31.2,23.5,6.9,36.7
Changi,2010,12,18,3.8,—,—,—,26,30,23.6,7.5,53.6
Changi,2010,12,19,0,—,—,—,26.4,29.8,23.6,7.9,28.1
Changi,2010,12,20,0,—,—,—,27,31,24.1,6.1,23.4
