Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2013,1,1,7.2,—,—,—,26.9,31.4,23.9,7.2,33.8
Changi,2013,1,2,1.2,—,—,—,27,30.5,23.1,6.9,27.4
Changi,2013,1,3,3.6,—,—,—,26.9,32,24.2,6.2,29.9
Changi,2013,1,4,0.8,—,—,—,27.2,30.5,25,8.6,30.2
Changi,2013,1,5,0,—,—,—,27.5,31.8,25.2,7.4,26.6
Changi,2013,1,6,0,—,—,—,27.7,32.5,25.2,7.2,31
Changi,2013,1,7,0,—,—,—,29.1,35.2,25.2,7.6,34.9
Changi,2013,1,8,20.2,—,—,—,27.1,32.7,21.6,6.7,56.2
Changi,2013,1,9,42.6,—,—,—,26.3,32.1,22.4,6.6,56.2
Changi,2013,1,10,0,—,—,—,26.9,30,25,7,20.5
Changi,2013,1,11,0,—,—,—,27.7,31,25.9,10.5,33.5
Changi,2013,1,12,0.8,—,—,—,27.6,31.4,25.4,9.4,29.2
Changi,2013,1,13,30.2,—,—,—,26.3,30.8,23.6,6.5,25.6
Changi,2013,1,14,0,—,—,—,27.4,31,25.4,11.8,33.5
Changi,2013,1,15,0.2,—,—,—,27.6,30.9,25.9,14.2,32.4
Changi,2013,1,16,0,—,—,—,27.4,30.3,26.1,—,—
Changi,2013,1,17,0,—,—,—,27.5,30.7,25.2,—,—
Changi,2013,1,18,73,—,—,—,26.9,32,24.3,14.8,35.6
Changi,2013,1,19,64,—,—,—,23.7,24.8,22.6,7.6,27.7
Changi,2013,1,20,10.8,—,—,—,24.4,25.4,23.6,6,21.6
Changi,2013,1,21,2.6,—,—,—,27,31.1,24.1,9.8,29.9
Changi,2013,1,22,4.6,—,—,—,25.8,28.2,23.7,9.8,29.9
Changi,2013,1,23,0,—,—,—,27,30.9,24.6,9.7,33.1
Changi,2013,1,24,0.2,—,—,—,27.3,30.7,25.4,11.3,32.8
Changi,2013,1,25,0,—,—,—,27.2,30.7,24.3,12.1,32
Changi,2013,1,26,0,—,—,—,27.3,30.7,25,11.4,30.2
Changi,2013,1,27,0,—,—,—,27.3,31,24.7,12.3,33.8
Changi,2013,1,28,0,—,—,—,27.6,31,25.3,12.6,33.1
